order_id|user_id|order_number|order_dow|order_hour_of_day
3214808|295|1|4|12
1558179|295|2|4|16
951798|295|3|5|20
2385674|295|4|2|14
183934|295|5|0|18
2084049|295|6|3|10
2287043|295|7|4|13
1642460|295|8|3|13
757891|295|9|1|13
358702|295|10|1|16
1438148|295|11|2|10
1915657|295|12|0|15
3392301|295|13|2|11
1703108|295|14|5|14
3147598|295|15|1|10
1169026|295|16|2|14
1012240|295|17|1|13
1754759|295|18|4|18
3355543|458|1|1|10
1641877|458|2|1|14
885836|458|3|3|11
2081279|458|4|3|10
2790751|458|5|5|14
1696319|458|6|5|11
1619878|458|7|1|10
3057373|458|8|2|13
1617678|458|9|2|13
1273788|845|1|6|8
2280378|845|2|0|8
963921|845|3|3|0
1639199|845|4|2|16
1196831|845|5|0|9
3405539|845|6|4|16
359479|845|7|2|15
299118|845|8|0|11
969556|845|9|4|23
241035|845|10|6|8
200124|845|11|6|12
921129|845|12|0|9
2011780|845|13|5|23
2299743|845|14|1|15
1695950|845|15|5|14
2962131|845|16|4|16
3186148|845|17|6|15
782897|1381|1|4|8
1067706|1381|2|5|13
1046475|1381|3|1|10
787010|1381|4|3|16
893117|1381|5|0|22
1253043|1381|6|0|16
288039|1381|7|6|16
2402745|1381|8|5|20
2606847|1381|9|5|16
3401659|1381|10|6|9
2366899|1381|11|5|15
3283|1381|12|6|12
1052096|1381|13|5|16
725641|1381|14|6|13
919191|1381|15|6|18
480624|1381|16|6|12
1196800|1381|17|5|20
1636647|1381|18|4|9
2920886|1381|19|0|17
3266443|1381|20|2|7
3125640|1381|21|2|11
1275457|1381|22|5|10
1535270|1381|23|5|12
2227912|1381|24|5|22
2827640|1381|25|6|14
1278014|1381|26|3|0
1465530|1671|1|0|15
2091517|1671|2|2|18
3364998|1671|3|1|14
2947105|1671|4|5|10
3178358|1671|5|3|19
202725|1671|6|1|11
1105552|1671|7|4|10
2879218|1671|8|4|12
1421115|1671|9|4|16
2133357|1706|1|4|15
924580|1706|2|0|11
969407|1706|3|3|15
2599736|1706|4|2|13
66475|1706|5|3|8
452617|1706|6|4|13
3054296|1706|7|2|17
1259925|1706|8|1|18
1307973|1706|9|0|15
3059646|1706|10|4|16
3018788|1706|11|3|8
1190500|1706|12|1|9
2368341|1706|13|1|14
781322|1706|14|2|18
1027915|1706|15|0|19
2066190|1706|16|4|20
910477|1706|17|2|13
438963|1953|1|2|13
1167461|1953|2|2|9
2391849|1953|3|3|13
3233575|1953|4|4|15
564876|1953|5|1|10
1201647|1953|6|4|15
1306024|1953|7|2|9
1073980|1953|8|1|17
377721|1953|9|3|9
1321089|1953|10|5|17
955164|1953|11|3|17
248041|1953|12|5|15
1823035|1953|13|1|10
3025807|1953|14|3|9
2137510|1953|15|5|8
1498722|1953|16|5|14
1140146|1953|17|5|14
2841475|1953|18|2|11
538838|1953|19|4|10
1772298|1953|20|3|9
2518386|2034|1|0|14
3019009|2034|2|4|20
1829903|2034|3|4|16
142913|2034|4|4|16
1956265|2034|5|4|16
3242111|2095|1|6|20
1654729|2095|2|3|19
1264714|2095|3|6|10
818010|2095|4|0|15
151544|2095|5|2|18
260947|2095|6|3|18
3283643|2095|7|3|14
605913|2095|8|3|20
2238986|2095|9|6|8
2239000|2095|10|2|11
210353|2095|11|0|9
1418558|2095|12|6|8
3213355|2095|13|5|11
2995338|2095|14|4|10
1340463|2095|15|5|11
2190060|2095|16|3|18
3285388|2095|17|0|14
2106734|2190|1|3|21
1637914|2190|2|5|19
1772477|2190|3|6|16
1421932|2190|4|1|22
2538290|2190|5|6|8
252342|2190|6|4|8
1954206|2190|7|1|22
1635984|2190|8|1|21
2752675|2190|9|0|10
2068680|2190|10|5|7
577210|2190|11|5|10
2381383|2190|12|0|12
3328568|2190|13|3|19
2658128|2396|1|2|13
2662399|2396|2|4|18
2787556|2396|3|3|12
2237568|2396|4|5|8
1184932|2396|5|1|9
1529416|2396|6|1|12
1202914|2396|7|1|15
1841718|2396|8|1|15
2112522|2396|9|5|11
1704904|2396|10|1|9
1368473|2396|11|2|9
439137|2396|12|1|17
2362523|2396|13|6|18
2014092|2396|14|3|12
877185|2396|15|0|14
2827700|2396|16|5|9
2722851|2396|17|4|13
1630740|2396|18|5|8
352757|2396|19|2|17
1819573|2396|20|0|15
1252162|2396|21|4|18
955798|2396|22|0|11
2597913|2396|23|5|23
3243581|2396|24|4|15
608810|2396|25|2|13
3205355|2396|26|3|16
1685869|2396|27|0|16
312820|2396|28|5|12
2469800|2396|29|5|17
482921|2396|30|3|9
1761301|2396|31|3|9
2700121|2396|32|2|12
1571076|2396|33|2|16
165192|2396|34|5|10
94710|2396|35|5|12
3238164|2396|36|4|17
2650736|2396|37|6|17
1776012|2396|38|2|10
1375793|2396|39|5|18
2310517|2396|40|4|16
2761781|2396|41|1|15
1932294|2396|42|4|16
1241653|2396|43|1|15
2684384|2396|44|6|12
2517829|2530|1|1|18
2591238|2530|2|0|17
419023|2530|3|0|17
2094666|2530|4|0|16
1550719|2530|5|0|15
2354279|2530|6|4|17
2055760|2530|7|0|19
1168997|2530|8|3|18
2529193|2530|9|1|14
1967894|2530|10|0|12
2400212|2530|11|6|16
2925073|2530|12|1|17
999358|2790|1|4|13
1443935|2790|2|4|10
1036735|2790|3|2|13
3076101|2790|4|5|13
3039147|2790|5|0|10
1450132|2790|6|4|14
1989119|2790|7|6|11
3048681|2790|8|3|12
881210|2790|9|5|11
1435850|2790|10|1|13
2115475|2790|11|1|12
2745052|2790|12|4|14
868393|2790|13|5|20
1496076|2921|1|2|13
125671|2921|2|2|15
477679|2921|3|0|13
2927938|2921|4|2|13
2472964|2921|5|0|14
992855|2921|6|2|13
1004577|2921|7|2|15
392026|2921|8|5|14
2076626|2921|9|5|14
844561|2921|10|4|16
381789|2921|11|4|13
933860|2921|12|4|14
2947423|2921|13|4|16
1686345|2921|14|5|14
1720096|2921|15|3|14
3274909|2921|16|4|13
2365765|2921|17|1|15
1258983|2947|1|6|8
2209505|2947|2|0|15
1504998|2947|3|2|10
2763057|2947|4|4|7
704930|2947|5|0|14
1444414|2947|6|6|8
3178148|2947|7|1|15
524681|2947|8|4|10
17886|2947|9|5|16
3043444|2947|10|1|9
588145|2947|11|4|10
2923448|2947|12|1|17
2136811|2947|13|0|16
434491|2947|14|2|13
2811749|2947|15|4|12
2127892|2947|16|5|18
3104359|2947|17|0|15
1916168|2947|18|1|13
358548|2947|19|3|12
264389|2947|20|5|12
1569570|2947|21|2|11
2794812|2947|22|4|16
1828807|2947|23|3|9
2757203|2947|24|5|17
422072|2947|25|6|10
2052027|3667|1|1|16
280370|3667|2|1|16
1781248|3667|3|1|12
2567358|3667|4|4|10
3100726|3667|5|1|7
765553|3667|6|1|14
3398235|3667|7|1|9
626570|3667|8|3|8
1927994|3667|9|1|10
2914627|3667|10|3|8
2218981|3667|11|5|8
1846492|3667|12|3|10
2478937|3667|13|1|10
203859|3667|14|2|12
1130257|3667|15|4|8
290695|3667|16|4|11
2286208|3667|17|5|15
255146|3667|18|2|9
114567|3667|19|1|8
1137502|3667|20|4|15
1945045|3667|21|4|8
715080|3667|22|5|9
1137749|3667|23|2|7
1410927|3667|24|1|10
1100527|3667|25|5|11
61465|3667|26|4|9
227166|3667|27|5|7
835564|3667|28|2|11
12569|3667|29|2|7
682518|3667|30|3|10
2579085|3667|31|1|9
2018351|3667|32|1|7
1283985|3667|33|1|9
1190962|3782|1|5|10
2980726|3782|2|5|8
3316893|3782|3|5|13
873168|3782|4|5|8
3369036|3782|5|4|18
20127|3782|6|4|9
2383006|3782|7|4|10
3219697|3782|8|4|8
2715573|3782|9|4|13
1309458|3782|10|4|11
658037|3782|11|4|10
2819273|3782|12|4|13
1016889|3782|13|4|13
276345|3782|14|4|10
90448|3782|15|4|14
2859527|3782|16|4|15
1514900|3782|17|3|17
2555405|3782|18|5|9
96960|3782|19|4|10
1399169|3782|20|3|10
19413|3782|21|1|11
1623246|3782|22|5|9
3055063|3782|23|2|16
3223171|3782|24|4|12
2150063|3782|25|1|17
733415|3782|26|4|10
454580|3782|27|2|11
1302796|3782|28|2|13
3192713|3782|29|1|10
991085|3782|30|4|9
183021|3782|31|1|12
1247497|3782|32|3|8
3259101|3782|33|4|10
1625514|3782|34|1|10
1585945|3782|35|5|15
3090662|3782|36|1|8
1020956|3782|37|4|8
1239997|3782|38|4|10
3405274|3782|39|3|12
98545|3782|40|1|8
329936|3782|41|1|8
11682|3782|42|1|15
201752|3782|43|5|7
484273|3782|44|4|19
1796721|3782|45|4|10
1358860|3782|46|4|10
2967378|4535|1|2|12
2481531|4535|2|4|8
41950|4535|3|1|15
2319524|4535|4|5|13
2250530|4535|5|6|14
2113036|4535|6|1|12
2900517|4535|7|0|6
2478705|5002|1|0|7
196883|5002|2|6|20
361672|5002|3|3|8
2160836|5002|4|3|19
1613605|5002|5|4|13
2116391|5002|6|1|13
1326506|5002|7|4|11
1223427|5002|8|2|20
1634349|5002|9|1|8
1100056|5002|10|4|14
2761901|5002|11|1|14
2514540|5002|12|6|9
1022276|5002|13|3|21
203102|5002|14|1|20
2676936|5002|15|0|10
1962367|5002|16|5|14
3133544|5002|17|1|13
3315642|5002|18|5|11
2918992|5002|19|6|20
2168913|5002|20|0|17
1755551|5002|21|6|9
123920|5002|22|6|21
2275805|5002|23|0|17
2911091|5002|24|6|16
623070|5002|25|6|12
971626|5002|26|2|12
1948314|5002|27|6|19
2843933|5174|1|5|13
2529503|5174|2|4|11
2744653|5174|3|5|6
1491994|5174|4|4|19
2568316|5174|5|4|21
2117617|5174|6|3|21
2065052|5174|7|4|20
1730880|5174|8|3|0
2959429|5174|9|4|20
1045635|5174|10|1|23
3015842|5174|11|4|7
573711|5174|12|5|9
3197671|5174|13|4|21
1772919|5174|14|4|19
3249793|5174|15|4|21
174591|5174|16|1|13
494775|5174|17|5|7
363600|5174|18|4|22
3372030|5174|19|4|20
1399861|5174|20|6|12
1887008|5174|21|3|23
1698824|5174|22|4|6
1601341|5174|23|4|20
858489|5174|24|0|20
1432394|5174|25|0|20
3418562|5174|26|0|15
2995976|5210|1|6|10
2319266|5210|2|5|10
2043962|5210|3|4|6
1626896|5210|4|1|12
2242950|5210|5|4|14
3246389|5210|6|4|15
3074994|5210|7|2|14
1824379|5210|8|3|14
544321|5210|9|3|13
3406074|5210|10|2|14
3349823|5210|11|1|15
2912586|5210|12|3|15
2603593|5210|13|5|10
1376887|5210|14|1|9
1222265|5210|15|6|9
581837|5210|16|3|16
1764677|5210|17|5|15
3362897|5210|18|5|19
2404790|5210|19|3|9
1501900|5210|20|5|10
2521869|5210|21|0|8
2413209|5210|22|4|17
2062853|5210|23|1|6
1828379|5210|24|5|20
3352014|5210|25|2|14
2617016|5210|26|4|14
641183|5320|1|0|16
2289740|5320|2|2|18
690239|5320|3|6|12
695997|5320|4|0|16
2342130|5320|5|6|11
768409|5320|6|5|18
920744|5320|7|0|18
2690831|5320|8|0|17
3066616|5320|9|0|9
1300801|5320|10|0|10
725402|5320|11|4|17
709662|5320|12|0|18
880075|5320|13|1|19
688229|5320|14|3|13
1559180|5320|15|0|16
1183276|5320|16|6|11
345085|5320|17|1|15
1793829|5320|18|0|12
591711|5320|19|6|13
1488015|5321|1|5|19
574370|5321|2|3|14
3365617|5321|3|0|12
2722116|5321|4|6|14
31789|5321|5|5|10
2745723|5321|6|1|16
106212|5321|7|6|12
129419|5321|8|1|14
223617|5335|1|6|21
3301782|5335|2|5|19
619549|5335|3|5|20
1099006|5335|4|5|19
2292290|5335|5|3|13
2105616|5335|6|6|19
1685152|5335|7|5|21
1829138|5335|8|0|21
969979|5335|9|6|19
634328|5335|10|6|16
1650980|5335|11|6|21
2223463|5335|12|6|10
1072144|5335|13|0|14
3092865|5335|14|0|8
640198|5335|15|6|12
2498355|5335|16|6|18
2815000|5335|17|0|0
2545585|5335|18|0|7
45183|5335|19|0|14
1304886|5335|20|3|6
1351781|5335|21|6|10
1657302|5335|22|5|20
2933000|5335|23|6|11
3383805|5335|24|1|22
1530350|5335|25|4|20
1085845|5335|26|0|17
514683|5335|27|6|22
71558|5335|28|6|13
2875141|5335|29|6|23
1080225|5335|30|6|22
2249279|5335|31|6|22
3219438|5335|32|6|17
2329410|5335|33|6|19
2017230|5335|34|0|16
1960079|5335|35|0|19
3365689|5335|36|1|15
2494215|5335|37|0|21
1617315|5684|1|0|8
2837558|5684|2|6|17
3384441|5684|3|1|10
1771762|5684|4|5|7
1877667|5684|5|1|17
1576562|5684|6|0|12
309291|5684|7|0|19
3393972|5684|8|1|11
2025749|5684|9|2|11
330786|5684|10|3|23
1889407|5684|11|2|10
2020565|5684|12|1|10
3192160|5684|13|1|12
1497663|5684|14|6|10
2650102|5684|15|2|22
2383133|5684|16|5|9
1745695|5684|17|0|19
2839275|5684|18|4|11
1513172|5684|19|2|10
3102400|5684|20|0|14
3170743|5684|21|4|10
2258188|5684|22|4|13
303885|5684|23|0|19
2175452|5684|24|3|15
1259608|5684|25|4|22
1026406|5684|26|2|12
2009652|5684|27|1|16
2153727|5684|28|4|14
474337|5684|29|2|14
1979085|5684|30|0|18
1456026|5684|31|1|17
1231575|5684|32|0|14
3025696|5684|33|0|10
1654987|5684|34|0|15
496862|5684|35|5|22
935625|5684|36|0|17
510546|5684|37|3|12
3153195|5684|38|0|21
1943229|5684|39|4|19
1272195|5684|40|6|15
1997214|5684|41|4|13
3186623|5684|42|2|7
938378|5684|43|3|14
1071784|5684|44|2|13
362585|5942|1|4|12
1370852|5942|2|5|8
2005853|5942|3|5|0
1303505|5942|4|5|12
2836|5942|5|4|17
1637906|5942|6|5|10
1517414|5942|7|4|16
2036434|5942|8|4|16
390739|5942|9|4|22
357387|5942|10|4|15
760155|5942|11|4|22
1587513|5942|12|4|20
2527022|5942|13|4|15
912153|5942|14|5|10
2800687|5942|15|4|10
3363976|5942|16|5|8
