product_id|product_name|aisle_id|department_id
1|Chocolate Sandwich Cookies|61|19
2|All-Seasons Salt|104|13
4|Smart Ones Classic Favorites Mini Rigatoni With Vodka Cream Sauce|38|1
9|Light Strawberry Blueberry Yogurt|120|16
10|Sparkling Orange Juice & Prickly Pear Beverage|115|7
23|Organic Turkey Burgers|49|12
25|Salted Caramel Lean Protein & Fiber Bar|3|19
28|Wheat Chex Cereal|121|14
29|Fresh Cut Golden Sweet No Salt Added Whole Kernel Corn|81|15
30|Three Cheese Ziti, Marinara with Meatballs|38|1
32|Nacho Cheese White Bean Chips|107|19
34|Peanut Butter Cereal|121|14
36|Traditional Lasagna with Meat Sauce Savory Italian Recipes|38|1
40|Beef Hot Links Beef Smoked Sausage With Chile Peppers|106|12
43|Organic Clementines|123|4
44|Sparkling Raspberry Seltzer|115|7
45|European Cucumber|83|4
47|Onion Flavor Organic Roasted Seaweed Snack|66|6
49|Vegetarian Grain Meat Sausages Italian - 4 CT|14|20
50|Pumpkin Muffin Mix|105|13
53|Whole Leaf Pure Aloe With Lemon Juice|98|7
54|24/7 Performance Cat Litter|41|8
57|Flat Toothpicks|111|17
63|Banana & Sweet Potato Organic Teething Wafers|92|18
66|European Style Spring Mix|123|4
71|Ultra 7 Inch Polypropylene Traditional Plates|111|17
74|Artisan Chick'n & Apple Sausage|14|20
75|Hemp Protein, Organic|65|11
77|Coconut Chocolate Chip Energy Bar|3|19
79|Wild Albacore Tuna No Salt Added|95|15
83|100% Whole Wheat Pita Bread|128|3
84|Lamb Shank|7|12
87|Classics Earl Grey Tea|94|7
88|Probiotics High Potency Capsules|47|11
93|Uncured Cracked Pepper Beef|23|19
94|Organic Blueberry Blitz Fruit & Veggie Smoothie Mashups|92|18
95|Organic Rice Vinegar|66|6
99|Local Living Butter Lettuce|83|4
102|Danish Butter Cookies|61|19
106|Organic Yummy Tummy Maple & Brown Sugar Instant Oatmeal|92|18
107|Mild Salsa Divino|51|13
111|Fabric Softener, Geranium Scent|75|17
116|English Muffins|93|3
117|Petit Suisse Fruit|2|16
118|Ground Turkey Chub|34|1
121|Sharp Cheddar|21|16
122|Pomegranate Molasses|29|13
123|Sherry Reserve Vinegar|19|13
126|Hot & Spicy Chicken Flavor Ramen Noodles|4|9
127|Marscapone|108|16
128|Organic Wild Blueberries|116|1
129|Traditional Chicken & Orzo with Lemon Soup|69|15
130|Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack|37|1
137|Very Vanilla Soymilk|91|16
138|Olli Napoli Salami|96|20
140|Chips Onion Chipotle Garlic|107|19
141|Restaurant Style Organic Chia & Quinoa Tortilla Chips|107|19
148|Nectarines|24|4
149|Wild Blueberry All Natural Fruit Spread|88|13
160|100% Recycled Aluminum Foil|97|13
162|Organic Mini Homestyle Waffles|52|1
165|Wild Chanterelle Mushroom Ravioli|12|9
169|Extra Sharp Cheddar Cheese|21|16
174|Vanishing Acne Treatment Cream|73|11
177|Citrus Terere Yerba Mate|94|7
184|Kisses Milk Chocolate Candy|45|19
186|Fresh Scent Dishwasher Detergent with Dawn|74|17
187|Wild Sardines in Marinara Sauce|95|15
188|Mild El Nino Salsa|67|20
196|Soda|77|7
199|Herb Thyme Clamshell|16|4
204|Free & Clear Natural Laundry Detergent For Sensitive Skin|75|17
206|Roasted Vegetable Soufflé|38|1
207|Minis Candy Bars|45|19
210|Homemade Hot Arrabbiata Fra Diavolo Sauce|9|9
211|Gluten Free Organic Cereal Coconut Maple Vanilla|130|14
216|Gluten Free Oatmeal, Variety Pack|130|14
217|String Cheese, Mozzarella|108|16
219|Totz Toothbrush Extra Soft 18+ Months|82|18
221|Cayenne Lemonade Made With Raw Tristate Honey|31|7
226|Shaved Parmesan Cheese|21|16
228|Organic Soups Lentil|69|15
239|Chicharrones Picante Flavor Pork Rinds|107|19
240|Nature's Seasons Seasoning Blend|104|13
246|Triple-Acting Laundry Stain Remover|75|17
248|Dried Sweetened Cranberries|117|19
256|Island Fruits Fruit Snacks|50|19
258|Vegetable Pot Pie|38|1
260|Cantaloupe|24|4
261|Organic Southwestern Burrito|38|1
264|Non-Fat Blueberry on the Bottom Greek Yogurt|120|16
273|Thin Stackers Brown Rice  Salt Free|107|19
274|Snack Bags|87|17
276|French Vanilla Ice Cream|37|1
277|Diet Root Beer|77|7
278|Instant Mashed Potatoes|4|9
280|Makeup Remover Cleansing Towelettes|73|11
283|Organic Whole Wheat Elbows|131|9
285|Mini Nilla Wafers Munch Pack|61|19
287|Turkey|96|20
288|Original Sprouted Grains Protein & Fiber Hot Oatmeal|130|14
294|Minis Original Saltine Crackers|78|19
295|Chewables Extra Strength Cherry Creme - 48 CT|70|11
300|Organic Enriched Unbleached White Flour|17|13
305|Wild Forest Raw Neem Honey|29|13
310|Crackers, Puffed, Corn, Quinoa & Sesame|78|19
311|Naturals Savory Turkey Breakfast Sausage|52|1
322|Brooklyn Pizza Dough|79|1
327|Green Peas, Organic, Petite|116|1
329|Organic Whole Grassmilk Milk|84|16
330|Chilpotles in Adobo Sauce|30|6
333|Basil Daly Bar Soap|25|11
335|Blueberry Kombucha|31|7
339|Creamline Yogurt Wild Blueberry|120|16
340|Eco-Pac Kamut Puffs Cereal|121|14
342|Complete Health Deboned Chicken, Chicken Meal and Rice Cat Food|41|8
343|Organic Whole Peeled Baby Carrots|123|4
347|Vegetable Salad Kit, Sweet Kale|123|4
348|Super Slimming Herbal Tea|94|7
350|Mixed 12 Pack Lion's Share Ale|27|5
352|Colby Jack & Mild Cheddar Combo Pack|21|16
354|Twist n Loc Small Round Containers + Lids|85|17
358|Frozen All Butter Pound Cake|119|1
363|Water Crackers Original All Natural|78|19
365|Cheerios Cereal|121|14
367|Ultimate Omega 1000 mg Lemon Soft Gels|47|11
372|Moisture Rich Sweet Orange & Argan Conditioner|22|11
376|Even & Bright Pink Lemon and Mandarin Orange Body Wash|127|11
378|Powerball Quantum Max Shine & Protect Automatic Dishwasher Detergent|74|17
389|Mache Blend|123|4
391|Organic Yukon Gold Potato Bag|83|4
392|OPA Greek Yogurt Ranch Dressing|89|13
397|Pure Granulated Cane Sugar|17|13
