product_id|product_name|aisle_id|department_id
1|Chocolate Sandwich Cookies|61|19
34|Peanut Butter Cereal|121|14
45|European Cucumber|83|4
99|Local Living Butter Lettuce|83|4
116|English Muffins|93|3
122|Pomegranate Molasses|29|13
123|Sherry Reserve Vinegar|19|13
130|Vanilla Milk Chocolate Almond Ice Cream Bars Multi-Pack|37|1
133|Purifying Daily Detox Scrub|109|11
141|Restaurant Style Organic Chia & Quinoa Tortilla Chips|107|19
148|Nectarines|24|4
149|Wild Blueberry All Natural Fruit Spread|88|13
160|100% Recycled Aluminum Foil|97|13
165|Wild Chanterelle Mushroom Ravioli|12|9
167|Sparkling Blush Grape Juice|77|7
179|Penne Rigate With Spinach|131|9
184|Kisses Milk Chocolate Candy|45|19
196|Soda|77|7
204|Free & Clear Natural Laundry Detergent For Sensitive Skin|75|17
211|Gluten Free Organic Cereal Coconut Maple Vanilla|130|14
212|Organic Blue Corn Sea Salt Tortilla Chips|107|19
219|Totz Toothbrush Extra Soft 18+ Months|82|18
228|Organic Soups Lentil|69|15
246|Triple-Acting Laundry Stain Remover|75|17
248|Dried Sweetened Cranberries|117|19
258|Vegetable Pot Pie|38|1
260|Cantaloupe|24|4
261|Organic Southwestern Burrito|38|1
264|Non-Fat Blueberry on the Bottom Greek Yogurt|120|16
273|Thin Stackers Brown Rice  Salt Free|107|19
274|Snack Bags|87|17
277|Diet Root Beer|77|7
283|Organic Whole Wheat Elbows|131|9
294|Minis Original Saltine Crackers|78|19
311|Naturals Savory Turkey Breakfast Sausage|52|1
325|Veggie-Style Mini Corn Dogs|42|1
329|Organic Whole Grassmilk Milk|84|16
352|Colby Jack & Mild Cheddar Combo Pack|21|16
365|Cheerios Cereal|121|14
389|Mache Blend|123|4
397|Pure Granulated Cane Sugar|17|13
427|Italian Style Panko Breadcrumbs|5|13
432|Vanilla Almond Breeze Almond Milk|91|16
436|Petite Brussels Sprouts|116|1
459|Honey Vanilla Greek Yogurt|120|16
481|Black Peppercorns|104|13
486|Lowfat Raspberry Kefir Probiotic Cultured Milk Smoothie|120|16
500|Non-Scratch Scrub Sponges|114|17
519|Antioxidant Infusions Brasilia Blueberry|31|7
521|Daily Shower Cleaner Ylang Ylang|114|17
524|in Gravy with Carrots Peas & Corn Mashed Potatoes & Meatloaf Nuggets|92|18
544|Classic Original Hummus|67|20
546|Tomatillo Salsa|51|13
575|Organic Medium Yellow Thai Curry|72|13
581|Garnet Sweet Potato (Yam)|83|4
594|Gluten Free Peanut Butter Berry  Chewy With A Crunch Granola Bars|3|19
605|Natural Liquid Laundry Detergent - Blue Eucalyptus and Lavender|75|17
635|Little Bites Snickerdoodle Muffins|61|19
644|Organic Southwestern Vegetable Soup|69|15
651|Organic Salted Butter|36|16
663|Pico De Gallo|67|20
671|Vegan Shells & Creamy Sauce Mac & Cheese Macaroni & Cheese Organic|4|9
694|Greek & Chia Blood Orange Yogurt|120|16
760|Cracker Trio Selected Favorites|78|19
781|Organic Shredded Mild Cheddar|21|16
795|Organic Fuel, High Protein Milk Shake, Vanilla|65|11
810|Organic Honey Mustard|72|13
820|Vanilla Almond Butter Squeeze|88|13
853|Crunchy Granola Bars Variety Pack|48|14
873|Graduates Lil' Meals Spaghetti Rings In Meat Sauce|92|18
881|Heavy Duty Scrub Sponges|114|17
884|Dried Parsley Flakes|104|13
890|Organic Diced Tomatoes|81|15
899|Colby Jack Cheese Slices|21|16
930|ULTRACLEAN™ Cool Mint ULTRACLEAN™|20|11
932|Vegetable Pie In A Pocket Sandwich|38|1
952|Flaxseed Meal, Whole Ground|17|13
972|Linguine No 7 Pasta|131|9
975|Creamy Vanilla Soy Milk Frozen Dessert|37|1
1000|Apricots|18|10
1006|Philadelphia Cream Cheese|108|16
1025|Organic Fresh Basil|16|4
1039|Free & Clear Unscented Refill Value Packs Baby Wipes|56|18
1063|Extra Dark Chocolate Baking Chips|17|13
1079|One Plant-Based Mixed Berry Flavor Nutritional Shake Drink Mix|65|11
1087|Sunrise Crunchy Cinnamon Cereal|121|14
1090|Shells & Real Aged Cheddar Macaroni & Cheese|4|9
1103|Hickory Smoked Turkey Breast|96|20
1117|Turkey Bacon|106|12
1158|Mango Chunks|116|1
1181|Mini Watermelon|24|4
1194|Natural Artisan Water|115|7
1202|Organic Whole Grain Oatmeal Cereal Baby Food|92|18
1214|Vinegar Balsamic|19|13
1215|Kidz All Natural Baked Chicken Nuggets|129|1
1217|Select-A-Size Paper Towels, White, 2 Huge Rolls = 5 Regular Rolls  Towels/Napkins|54|17
1240|Plain Better Than Cream Cheese|108|16
1244|Organic Orange Bell Pepper|83|4
1263|American Cheese Slices 12 Count|21|16
1301|Cereal, Panda Puffs, Peanut Butter|121|14
1336|Ultra Power Plus Natural Dish Liquid Fresh Scent|74|17
1359|Organic Turmeric|104|13
1360|Crunchy Peanut Butter|88|13
1373|100% Organic Whole Peeled Tomatoes|81|15
1374|Organic Hass Avocado Bag|83|4
1391|Town House Light & Buttery Original Oven Baked Crackers|78|19
1396|Sweet Potato (Yam)|83|4
1398|Ice Bag|37|1
1406|Vegan Nutritional Shake Sweet Vanilla Bean|65|11
1408|Mini Cucumbers|123|4
1416|Organic Caesar Dressing|89|13
1440|Baby Dill|16|4
1443|Strawberry and Banana Fruit Puree|92|18
1447|Organic Baby Lettuces|123|4
1450|Original Bobos Bites|3|19
1463|Organic Milk|84|16
1483|Pimento Martini Olives|110|13
1500|All Natural Chives|104|13
1511|2% Reduced Fat DHA Omega-3 Reduced Fat Milk|84|16
1516|Organic Acai Berry Smoothie Packs|116|1
1519|Thin Pizza Crust|105|13
1529|Parsley, Italian (Flat), New England Grown|16|4
1536|Flaked Tuna Feast Cat Food|41|8
1540|Organic Southwest Taco Seasoning|30|6
1542|Mini Crispy Crabless Cakes|34|1
1560|Bag Of Ice|37|1
1577|Unsweetened Whole Milk Peach Greek Yogurt|120|16
1601|Loofah Body Scrubber|25|11
1633|Pancake & Waffle Mix, Almond Flour|130|14
1643|French Feta|21|16
1695|Major Dickason's Blend Ground Coffee Dark Roast|26|7
1700|White Cheddar Popcorn|23|19
1752|Mango Sorbet|37|1
1757|Organic Cashew Carrot Ginger Soup|69|15
1801|Pomegranate Blueberry Pistachio Plus Antioxidants 1.4 oz Fruit & Nut Bars|3|19
1825|Via Instant Ready Brew Pike Place Coffee|26|7
1830|Organic Almond Extract|17|13
1841|Raw Cacao Powder|17|13
1846|BoomChocoBoom Gluten Free Ricemilk Crunch Bar|45|19
1890|Organic Large Grade A Eggs|86|16
1891|Instant Coffee|26|7
1905|Worcestershire Sauce|72|13
1935|Whole Wheat Cookies Dark Chocolate|61|19
1940|Organic 2% Reduced Fat Milk|84|16
1957|Fabric Softener Dryer Sheet Outdoor Fresh 160CT Fabric Enhancers|75|17
1986|Steamers Healthy Vision Vegetable Blend|116|1
1994|Organic Gluten Free Quinoa Spaghetti|131|9
1999|Organic Chicken Broth|69|15
2002|The World's Best Veggie Burger|42|1
2010|Thirsty Ultra Big Roll towel White Vsa|54|17
2053|Organic Ground Coriander|104|13
2072|Psyllium Husks Veg Caps 625 Mg|70|11
2078|Unsalted Pure Irish Butter|36|16
2079|Hommus Garlic Lovers|67|20
2085|Organic Grass Fed Whey Protein Unflavored|65|11
2086|Sustainably Soft Bath Tissue|54|17
2087|Crunchy Kale, Naked|107|19
2091|Almond Nut & Rice Cracker Snacks|78|19
2095|Apple Carrot & Pineapple Squeezable Fruit & Veggies|92|18
2099|Natural Cane Turbinado Sugar|17|13
2102|Hash Browns Country Style|52|1
2103|ProteinPLUS Multigrain Penne Pasta|131|9
2105|Salted Caramel Chocolate Cookie Dough|105|13
2108|Pastured Eggs|86|16
2120|Sauvignon Blanc|62|5
2124|Cheese Ravioli|12|9
2130|Wasabi Peas|50|19
2132|Rosemary Olive Oil Bread|112|3
2135|5-Lettuce Mix|123|4
2154|Homestyle Savory Chicken Bone Broth|69|15
2205|3D White Arctic Fresh Toothpaste|17|13
2228|Organic Frozen Mango Chunks|116|1
2238|Vitamin C Super Orange Dietary Supplement|47|11
2272|Peppermint|20|11
2295|Yellow Bell Pepper|83|4
2309|Organic Ground Flaxseed|47|11
2314|Whole Milk Ricotta Cheese|108|16
2360|Lorraine Quiche|13|20
2361|Mint Chip|37|1
2376|Flaked Fish & Shrimp Feast Cat Food|41|8
2390|Pita Crisps Simply Naked|107|19
2405|Organic Just Pears Sage 1 Baby Food|92|18
2413|Carmel Apple Crisp Twist|120|16
2432|Salt-Free Blend Pumpkin Pie Spice|104|13
2433|Meyer Lemons|24|4
2447|3 lb Clementines|123|4
2450|Taco Seasoning|30|6
2452|Naturals Chicken Nuggets|129|1
2463|P3 Turkey Cheese Almonds|125|19
2468|Organic Hibiscus Herbal Tea Bags|94|7
2469|Italian Salad Blend|123|4
2480|Organic 85% Cacao Dark Chocolate Bar|45|19
2481|Natural Deli Style Sliced Swiss Cheese|21|16
2493|Wild Cherry Drink|98|7
2515|Evaporated Milk,|17|13
2519|Rice Krispies Cereal|121|14
2535|Shaved Parmesan|2|16
